Sentence,Topic scores,Assigned topic
"['4', '6', '1', '6', '2', '7', '0', '-', 'E', '9', '4', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '8', '4', '3', '5', '9', '9', '9', '1', '2', '0', '-', 'E', '6', '5', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '9', '4', '1', '1', '0', '-', 'E', '3', '0', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['0', '5', '3', '7', '6', '5', '7', '5', '0', '-', 'E', '5', '3', '7', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '3', '5', '6', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '0', '-', 'E', '4', '9', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['2', '3', '3', '6', '7', '5', '1', '1', '6', '1', '-', 'E', '3', '3', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '7', '5', '8', '2', '8', '0', '-', 'E', '7', '7', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '0', '8', '9', '8', '6', '4', '5', '1', '1', '0', '-', 'E', '2', '0', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '1', '2', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '0', '-', 'E', '7', '7', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['8', '2', '9', '5', '2', '6', '0', '4', '2', '1', '-', 'E', '3', '4', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['9', '3', '6', '6', '2', '7', '0', '-', 'E', '8', '2', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '1', '0', '2', '7', '8', '7', '9', '3', '1', '-', 'E', '0', '1', '4', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '6', '3', '6', '2', '6', '0', '-', 'E', '3', '9', '4', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '2', '4', '8', '4', '8', '7', '8', '1', '6', '1', '-', 'E', '1', '1', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '1', '9', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '0', '-', 'E', '1', '0', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '4', '2', '9', '5', '9', '4', '7', '6', '0', '-', 'E', '6', '1', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '6', '1', '6', '2', '6', '0', '-', 'E', '3', '4', '4', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['2', '5', '7', '5', '2', '2', '8', '5', '1', '1', '0', '-', 'E', '2', '3', '9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '6', '8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '0', '-', 'E', '4', '6', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '4', '4', '6', '7', '8', '0', '5', '1', '5', '1', '-', 'E', '9', '9', '8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '3', '9', '6', '2', '8', '0', '-', 'E', '8', '3', '9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '8', '0', '0', '7', '2', '5', '4', '9', '0', '-', 'E', '6', '5', '9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '0', '5', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['2', '0', '-', 'E', '5', '0', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['8', '4', '9', '4', '8', '0', '2', '5', '2', '0', '-', 'E', '7', '8', '6', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '1', '-', 'E', '0', '0', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '4', '8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '0', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '0', '-', 'E', '0', '5', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '6', '4', '3', '5', '9', '5', '9', '1', '0', '-', 'E', '3', '9', '6', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['9', '2', '1', '0', '7', '9', '0', '2', '1', '6', '1', '-', 'E', '0', '0', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', '8', '7', '0', '1', '3', '1', '-', 'E', '8', '8', '5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '4', '1', '6', '0', '5', '3', '2', '1', '3', '0', '-', 'E', '1', '1', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '3', '8', '1', '2', '1', '0', '-', 'E', '2', '3', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', '5', '2', '5', '5', '5', '6', '4', '1', '6', '1', '-', 'E', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '1', '1', '8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '0', '-', 'E', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '4', '4', '2', '6', '2', '8', '3', '1', '1', '1', '1', '2', '2', '2', '3', '3', '3', '4', '4', '4', '5', '5', '5', '6', '6', '7', '8', '8', '8', '8', '8', '8', '8', '9', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '9', '7', '0', '6', '0', '1', '1', '0', '1', '-', 'E', 'Z', 'P', '3', '8', '4', '3', '1', 'N', '8', '5', '2', '9', '1', 'N', '6', '8', '4', '9', '7', '0', '2', '0', '1', '-', 'E', 'Z', 'P', '2', '5', '4', '6', '8', '0', '2', '0', '1', '-', 'E', 'Z', 'P', '6', '6', '0', '9', '9', '0', '3', '0', '1', '-', 'E', 'Z', 'P', '3', '6', '8', '8', '9', '0', '3', '0', '1', '-', 'E', 'Z', 'P', '7', '4', '0', '5', '4', '1', '3', '0', '1', '-', 'E', 'Z', 'P', '4', '3', '4', '0', '1', '0', '4', '0', '1', '-', 'E', 'Z', 'P', '1', '1', '3', '3', '1', '0', '4', '0', '1', '-', 'E', 'Z', 'P', '8', '8', '3', '0', '8', '0', '4', '0', '1', '-', 'E', 'Z', 'P', '3', '3', '3', '9', '4', '0', '5', '0', '1', '-', 'E', 'Z', 'P', '5', '4', '5', '2', '8', '0', '5', '0', '1', '-', 'E', 'Z', 'P', '7', '1', '9', '0', '3', '1', '5', '0', '1', '-', 'E', 'Z', 'P', '1', '6', '0', '2', '1', 'N', '1', '6', '1', '2', '3', '0', '6', '0', '1', '-', 'E', 'Z', 'P', '1', '3', '9', '8', '3', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '9', '0', '5', '5', '3', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '9', '0', '9', '3', '5', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '8', '7', '9', '2', '1', 'N', '0', '8', '3', '0', '7', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '0', '3', '3', '1', '8', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '9', '8', '5', '9', '8', '0', '8', '0', '1', '-', 'E', 'Z', 'P', '8', '7', '0', '8', '3', 'N', '3', '1', '6', '8', '1', 'N', '4', '1', '0', '8', '0', '0', '9', '0', '1', '-', 'E', 'Z', 'P', '1', '2', '3', '4', '5', '6', '7', '8', '9', '0', '1', '1', '1', '2', '1', '3', '1', '4', '1', '5', '1', '6', '1', '7', '1', '8', '1', '9', '1', '0', '2', '1', '2', '2', '2', '3', '2', '4', '2', '5', '2', '6', '2', '0', '2', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '0', '2', '2', '2', '0', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', '0', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['2', '1', '-', 'E', '2', '1', '7', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['9', '2', '7', '6', '8', '0', '-', 'E', '5', '4', '9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '3', '4', '4', '4', '9', '8', '.', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['5', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['e', 'v', 'b', ')', 'P', '(', '0', '1', 'g', 'l', '(', 'n', 'c', 'e', 'e', 'l', 'r', 'e', 'n', 'u', 'r', '/', 'n', ')', ')', '5', '2', '0', '1', 'w', 'e', 'b', 'l', 'l', 'e', 'u', 'v', '-', 'P', '(', '8', 'W', 'L', 'F', 'F', 'h', 'w', 'e', 'c', 'n', 'g', 'e', 'R', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', 'e', 'l', 'b', 'j', 'P', '2', 'R', 'l', 'h', '2', 'R', 'l', 'g', 'c', 'n', 'e', 'u', 'l', 'v', 'P-', 'f', 'c', 'e', 'f', 'f', 'E', 'e', 'e', 'u', 'l', 'v', 'P-', 'P', 'c', 'r', 'h', 'C', 'b', 'n', 'e', 'C', 'e', 'N', 'r', 'e', 'k', 'r', 'b', 'N', 'PLOS', 'ONE', '|', 'www.plosone.org', '10', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'e', 'n', 'e', 'G', ')', 'p', 'b', '(', 'n', 'r', 'c', 'e', 'e', 'n', 'e', 'G', 'e', 'n', 'e', 'G', 'l', 'L', 'Q', 'e', 'k', 'F', 'j', 'P', '2', 'R', 'l', 'h', '2', 'R', 'l', 'g', 'c', 'n', 'e', 'u', 'l', 'v', 'P-', 'f', 'c', 'e', 'f', 'f', 'E', 'e', 'e', 'u', 'l', 'v', 'P-', 'P', 'c', 'r', 'h', 'C', 'b', 'n', 'e', 'C', 'e', 'N', 'r', 'e', 'k', 'r', 'b', 'N', '0', '0', 'v', 'c', 'r', 'c', 'f', 'n', 'p', 'r', 'c', 'n', 'r', '.']","[1.9004187202365261, 0, 0, 0, 0, 0, 0, 0, 0, 0.3010907489507212]",0
"['3', '9', '9', '6', '7', '9', '1', 'C', 'v', 'c', 'r', 'c', 'f', 'n', 'p', 'r', 'c', 'n', 'r', '2', '7', '2', '6', '7', '0', 'G', '2', 'Z', 'R', 'G', '-', '-', '2', '3', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['0', '7', '1', '2', '9', '1', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['0', '1', '2', '2', '0', '1', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '1', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '0', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '0', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '1', '-', 'E', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', '6', '2', '7', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['6', '0', '-', 'E', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['0', '0', '8', '9', '1', '0', '7', '1', '6', '1', '-', 'E', '1', '0', '5', '4', '9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '0', '-', 'E', '0', '7', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['1', '1', '0', '6', '8', '1', '7', '5', '9', '9', '0', '0', '0', '7', '4', '8', '3', '0', '9', '0', '1', '-', 'E', 'Z', 'P', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['4', '9', '4', '0', '0', '0', 'Z', 'P', ';', '0', 'e', 'l', 'e', ',', '1', 'n', 'e', 'h', ',', 'r', 'e', 'k', 'r', 'g', 'n', 'k', 'n', 'l', 'f', ']', '6', '6', '[', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['n', 'B', 'G', 'e', 'z', 'g', 'n', 'r', 'c', 'c', 'n', 'g', 'e', 'r', 'c', 'r', 'e', 'r', 'n', 'e', 'c', 'n', 'r', 'e', 'k', 'r', ';', 'e', 'n', 'r', 'e', 'k', 'r', 'n', 'u', '7', '2', '8', '2', 'l', 'l', 'f', 'b', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['n', 'C', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['3', 'e', 'l', 'b', ';', ')', 'R', '4', '9', '(', 'B', 'K', '+', 'R', '5', '5', 'Q', 'l', 'e', 'g', 'n', 'r', 'c', 'c', ')', '8', 'W', 'L', 'F', 'F', '(', '8', 'e', 'r', 'u', 'r', 'e', 'p', 'e', 'e', 'b', 'e', 'e', 'r', 'g', 'e', 'g', 'n', 'w', 'r', 'g', 'n', 'g', 'n', 'r', 'e', 'w', 'l', 'f', 'l', 'e', 'e', 'f', 'r', 'f', 'l', 'e', 'u', 'v', '-', 'P', 'r', 'e', 'k', 'r', 'e', ';', '2', 'v', '_', 'n', 'e', 'G', 'f', 'e', 'R', 'n', 'n', 'p', ';', 'e', 'r', 'h', 'c', 'l', 'c', 'h', 'p', 'c', 'l', 'c', 'h', 'p', ';', ')', 'R', '4', '9', '(', 'B', 'K', '+', 'R', '5', '5', 'Q', 'l', 'e', 'g', 'n', 'r', 'c', 'c', '8', 'W', 'L', 'F', 'F', 'n', 'c', 'e', 'f', 'f', 'e', 'r', 'e', 'k', 'r', 'f', ';', 'l', 'e', 'e', 'v', 'ı¨', 'n', 'g', 'n', 'r', 'c', 'c', '8', 'W', 'L', 'F', 'F', 'r', 'f', 'l', 'e', 'u', 'v', '-', 'P', 'r', 'e', 'k', 'r', 'g', ';', ')', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['(', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['n', 'e', 'h', 'w', 'l', ')', 'h', 'g', 'h', '(', 'n', 'c', 'f', 'n', 'g', ',', ']', '7', '4', '[', 'n', 'c', 'e', 'B', 'h', 'w', 'e', 'n', 'b', 'e', 'n', 'c', 'e', 'e', 'l', 'r', 'f', ')', ';', 'e', 'n', 'l', 'e', 'x', '-', 'n', 'n', 'g', 'n', 'u', ']', '6', '4', '[', 'f', 'r', 'e', 'H', '-', 'r', 'h', 'w', 'e', 'u', 'c', 'l', 'c', 'l', 'x', 'e', 'n', 'r', 'r', 'e', 'p', '(', '0', '1', 'g', 'n', 'n', 'e', 'r', 'e', 'f', 'f', 'k', 'l', 'j', ';', ')', 'R', '4', '9', '(', 'B', 'K', '+', 'R', '5', '5', 'Q', 'l', 'e', 'e', 'x', 'r', 'e', 'n', 'l', 'n', 'r', 'e', 'k', 'r', 'e', 'h', 'b', ';', 'R', '5', '5', 'Q', 'l', 'e', 'r', 'e', 'n', 'l', 'n', 'r', 'e', 'k', 'r', 'e', 'h', 'b', 'e', 'n', 'p', 'x', 'e', 'l', 'e', 'n', 'p', 'x', 'e', 'l', 'e', 'c', 'n', 'r', 'v', 'f', 'e', 'c', 'n', 'r', 'v', 'f', 'e', 'g', 'n', 'e', 'c', 'r', 'e', 'p', 'h', 'e', 'g', 'n', 'e', 'c', 'r', 'e', 'p', 'Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'Discussion', 'Suitability', '50K', 'Illumina', 'array', 'investigating', 'line', 'similarity', ',', 'panel', 'structure', 'local', 'diversity', 'trend', 'along', 'genome', '(', 'CBD', 'SS', ')', 'Ascertainment', 'bias', 'due', 'marker', 'type', 'selection', 'concern', 'diversity', 'analysis', '.']","[0.23378801849950137, 0.11438696912312987, 0.7654022363767037, 0, 0.11276166138839035, 0.16352788298595827, 0.4609366490110216, 0, 0.3717159642051865, 0]",2
"['confirmed', 'considering', 'overrepresented', 'set', 'B73', '(', 'SS', ')', '6Mo17', '(', 'CBD', ')', 'SNPs', 'lead', 'overestimated', 'genetic', 'distance', 'dent', 'line', '(', 'Figure', 'S5', 'Text', 'S1', ')', ',', 'observed', 'study', '[', '31,69', ']', '.']","[0, 0, 0.2915987247189788, 0, 0, 0.3411238169584893, 0, 0, 0, 0]",2
"['excluding', 'marker', 'considering', 'Panzea', 'SNPs', ',', 'observe', 'trend', 'obtained', 'population', 'structure', 'result', 'highly', 'consistent', 'obtained', '55', 'SSRs', ',', 'including', 'mostly', 'trinucleotides', '(', 'Figure', 'S8', 'Text', 'S1', ')', '.']","[0, 0, 0.7951328717416122, 0, 0.5040297454288463, 0.1658835540251823, 0.13156185104769227, 0, 0, 0]",2
"['differentiation', 'group', 'also', 'consistent', 'SNPs', 'SSRs', ',', 'greatest', 'differentiation', 'noted', 'NF', 'SS', '(', 'Table', 'S2', 'Text', 'S1', ')', '.']","[0, 0, 0.18693470163851433, 0, 0.2264445474053424, 0.39187077044433155, 0, 0, 0, 0]",2
"['illustrates', 'based', 'relevant', 'marker', 'sample', ',', 'although', 'leading', 'discovery', 'new', 'polymorphism', 'compared', 'approach', 'like', 'GBS', '[', '70', ']', 'sequencing', '[', '71', ']', ',', 'SNP', 'array', 'powerful', 'tool', 'investigating', 'population', 'structure', '.']","[0, 0, 0.25726954807287106, 0, 0.11990976764771086, 0, 0.11990976764771086, 0, 0, 0]",0
"['average', 'genetic', 'diversity', 'panel', 'calculated', 'Panzea', 'SNPs', '0.36', '.']","[0, 0, 0.5822177136024056, 0, 0, 0, 0, 0, 0, 0]",2
"['value', 'upper', 'range', 'reported', 'diversity', 'analysis', 'based', 'SNP', 'genotyping', ',', 'ranging', '0.27', '0.39', '[', '72,73,74,75,76', ']', '.']","[0, 0, 0.1705734305031954, 0, 0, 0.1738520036589244, 0, 0, 0.1738520036589244, 0]",6
"['eight', 'percent', 'marker', 'appeared', 'monomorphic', ',', 'showing', 'rare', 'allele', 'discovered', 'Panzea', 'panel', 'used', 'build', '50K', 'Illumina', 'array', 'represented', 'panel', '.']","[0, 0, 0.13604241251151103, 0, 0.13604241251151103, 0.16113451206104462, 0.13604241251151103, 0, 0, 0]",6
"['Considering', 'MAF', 'distribution', ',', 'observed', 'lower', 'proportion', 'rare', 'allele', '(', ',0.1', ')', 'compared', 'frequency', 'class', 'slight', 'excess', 'intermediate', 'allele', '(', 'Figure', 'S3', 'Text', 'S1', ')', '.']","[0, 0, 0.16945469901250895, 0, 0, 0.5170130278725843, 0, 0, 0, 0]",2
"['frequency', 'profile', 'clearly', 'deviate', 'L-shaped', 'pattern', '(', 'excess', 'rare', 'allele', ')', 'expected', 'mutation', 'drift', 'equilibrium', 'absence', 'bias', 'polymorphism', 'discovery', '[', '77', ']', '.']","[0, 0, 0, 0, 0, 0.15256864724426578, 0, 0, 0, 0]",6
"['could', 'result', 'specific', 'evolutionary', 'process', 'and/or', 'experimental', 'strategy', 'used', 'marker', 'assembly', '.']","[0, 0, 0.1818543378211237, 0, 0.1818543378211237, 0, 0.1818543378211237, 0, 0, 0]",5
"['deficit', 'rare', 'allele', 'may', 'due', 'extent', 'SNP', 'discovery', ',', 'mostly', 'based', '27', 'line', '[', '36,78', ']', 'followed', 'quality', 'polymorphism', 'criterion', 'favor', 'balanced', 'polymorphism', '[', '31', ']', '.']","[0, 0, 0, 0, 0, 0.1531769171987812, 0, 0.2303385532210362, 0, 0]",2
"['slight', 'excess', 'intermediate', 'frequency', 'allele', 'consistent', 'high', 'enrichment', 'intermediate', 'frequency', 'allele', 'observed', 'three', 'genomic', 'region', 'sequenced', '(', 'Figure', 'S3', 'Text', 'S1', ')', '.']","[0.1539048223365177, 0, 0.1504089233498159, 0, 0, 0.4589036086535633, 0, 0, 0, 0]",2
"['could', 'related', 'allelic', 'differentiation', 'group', 'due', 'drift', 'diversifying', 'selection', 'region', '.']","[0.2712374918497445, 0, 0.25626264762284257, 0, 0, 0.25626264762284257, 0, 0, 0.2725406117883766, 0]",0
"['Beyond', 'trend', 'global', 'panel', ',', 'also', 'noticed', 'contrasted', 'frequency', 'pattern', 'across', 'genetic', 'group', '.']","[0, 0, 0.47287989745305187, 0, 0, 0.23875672022864347, 0, 0, 0, 0]",2
"['high', 'deficit', 'rare', 'allele', 'tropicals', 'probably', 'due', 'under-', 'representation', '(', 'relative', 'high', 'diversity', ')', 'SNP', 'discovery', 'step', '.']","[0, 0, 0.19536936421121096, 0, 0, 0.1918826549189732, 0, 0, 0, 0]",5
"['group', 'passed', 'comparable', 'sampling', 'procedure', ',', 'difference', 'observed', 'suggest', 'involvement', 'different', 'evolutionary', 'process', '.']","[0, 0, 0.1839682481800939, 0, 0, 0.1839682481800939, 0, 0, 0, 0]",4
"['Fifteen', 'percent', 'locus', 'monomorphic', 'flint', ',', 'compared', '2', '%', 'CBD', 'tropicals', '(', 'Table', '1', ')', '.']","[0, 0, 0, 0, 0, 0.3296273577819665, 0.2614193828489831, 0, 0, 0]",2
"['looking', 'allele', 'rare', 'tropicals', '(', ',0.05', ')', ',', 'difference', 'even', 'striking', ',', '30', '%', 'allele', 'lost', 'flint', 'compared', '6', '%', 'dent', '.']","[0, 0, 0, 0, 0, 0.3837568949943949, 0.243827919092195, 0, 0, 0]",4
"['contrast', ',', 'allele', 'originally', 'rare', 'tropicals', 'reached', 'near', 'fixation', 'flint', '(', 'NF', 'EF', ')', '(', 'Figure', 'S4', 'Text', 'S1', ')', '.']","[0, 0, 0.18736104449759278, 0, 0, 0.38510990893245745, 0, 0, 0, 0]",5
"['suggests', 'NF', 'group', 'passed', 'severe', 'bottleneck', '(', ')', 'diverging', 'tropical', 'germplasm', 'approx', '.']","[0, 0, 0.2007097776815223, 0, 0, 0.2007097776815223, 0, 0, 0, 0]",2
"['1900', 'year', 'ago', '[', '79,80', ']', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['relative', '(', 'compared', 'group', ')', 'overabundance', 'rare', 'allele', 'observed', 'Northern', 'Flints', 'suggests', 'population', 'expansion', 'group', 'accompanied', 'limited', 'introgression', 'external', 'genetic', 'group', '.']","[0, 0, 0.604329006863339, 0, 0, 0.6118054806787365, 0, 0, 0, 0]",2
"['followed', 'differentiation', ';', 'r', 'e', 'b', 'u', 'n', 'L', 'Q', 'e', 'h', 'e', 'r', 'e', 'b', 'u', 'n', 'e', 'r', 'h', 'c', 'e', 'h', 'X', 'h', 'w', '_', 'X', 'L', 'Q', 'e', ':', ')', ']', '0', '1', '[', 'r', 'f', 'e', 'p', '(', 'e', 'n', 'L', 'Q', 'e', 'l', ';', '2', 'v', '_', 'n', 'e', 'G', 'f', 'e', 'R', 'g', 'n', 'r', 'c', 'c', 'e', 'n', 'e', 'g', 'e', 'n', 'n', 'e', 'l', 'c', 'f', ';', 'n', 'c', 'n', 'u', 'f', 'e', 'n', 'e', 'g', 'e', 'n', 'n', 'e', 'n', 'e', 'l', 'c', 'n', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['e', 'n', 'e', 'g', 'e', 'n', 'n', 'e', 'l', 'c', 'n', 'r', 'e', 'k', 'r', 'n', 'e', 'e', 'w', 'e', 'b', 'e', 'c', 'n', '3', '0', '0', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['7', '7', '3', '1', '7', '0', '0', 'e', 'n', 'p', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
['.'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['l', 'n', 'r', 'u', 'j', '/', '1', '7', '3', '1', '0', '1', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[':', 'PLOS', 'ONE', '|', 'www.plosone.org', '11', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'stated', ',', 'level', 'polymorphism', 'observed', 'CBD', 'presented', 'limited', 'loss', 'compared', 'tropical', 'material', '.']","[1.2266199518289151, 0, 0, 0, 0, 0.19762342463984947, 0, 0, 0, 0.4171256319291383]",0
"['Alleles', 'observed', 'flint', 'rare', 'absent', 'tropicals', 'also', 'generally', 'noted', 'dent', '(', 'CBD', ')', ',', 'whereas', 'reverse', 'true', '.']","[0, 0, 0, 0, 0, 0.23846060969678257, 0, 0, 0, 0]",2
"['consistent', 'CBD', 'originating', 'part', 'flint', '(', 'NF', ')', 'part', 'group', 'relatively', 'close', 'tropicals', ',', 'approx', '.']","[0, 0, 0.21626374183152333, 0, 0, 0.48895372000788206, 0, 0, 0, 0]",8
"['400', 'ago', '[', '81', ']', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
"['relative', 'deficiency', 'rare', 'allele', 'observed', 'CBD', '(', 'Figure', 'S3', 'Text', 'S1', ')', 'confirmed', 'emerged', 'recently', 'restricted', 'number', 'founder', 'two', 'origin', '[', '82', ']', '.']","[0, 0, 0.16597224716865266, 0, 0, 0.5434647528740265, 0, 0, 0, 0]",2
"['comparing', 'European', 'flint', 'diversity', 'Northern', 'flint', ',', 'found', '93', '%', 'allele', 'common', 'group', ',', 'higher', 'previous', 'study', 'multiallelic', 'marker', '(', '75', '%', ')', '[', '83,84', ']', '.']","[0, 0, 0.4662853702912516, 0, 0.3919852416044265, 0.32435801408069764, 0.13893707241592793, 0, 0, 0]",1
"['allele', '(', '5410', ')', 'observed', 'EF', 'absent', 'NF', '.']","[0, 0, 0, 0, 0, 0.28939244201316267, 0, 0, 0, 0]",2
"['allele', 'generally', 'also', 'observed', 'non-admixed', 'CBD', '(', '89', '%', ')', 'tropicals', '(', '94', '%', ')', '.']","[0, 0, 0, 0, 0.3461304021263676, 0.5799884957049872, 0, 0.3772930951144494, 0, 0]",5
"['confirms', 'EF', 'recent', 'group', 'mainly', 'derived', 'NF', 'introduction', 'Europe', 'subsequent', 'hybridization', 'material', 'tropical', 'origin', ',', 'probably', 'different', 'used', 'form', 'CBD', '[', '84', ']', '.']","[0, 0, 0.14349664485568686, 0, 0, 0.32443357225131847, 0, 0, 0, 0]",4
